target,model,MAE_1-day,RMSE_1-day,MAPE_1-day,MAE_7-day,RMSE_7-day,MAPE_7-day,MAE_14-day,RMSE_14-day,MAPE_14-day,MAE_overall,RMSE_overall,MAPE_overall
in_hhs,Naive Persistence,11.0,11.0,0.45,6.43,7.15,0.26,6.36,7.19,0.26,6.36,7.19,0.26
in_hhs,Moving Average (7d),21.43,21.43,0.88,27.14,28.4,1.11,42.21,45.39,1.71,42.21,45.39,1.71
in_hhs,SARIMA,11.42,11.42,0.47,10.45,11.22,0.43,17.86,19.72,0.72,17.86,19.72,0.72
in_hhs,Exp. Smoothing,16.68,16.68,0.68,72.87,77.97,2.98,108.95,117.9,4.42,108.95,117.9,4.42
in_hhs,Random Forest,14.61,14.61,0.6,7.55,9.32,0.31,6.07,7.72,0.25,6.07,7.72,0.25
in_hhs,Gradient Boosting,5.21,5.21,0.21,12.3,15.62,0.5,9.82,12.83,0.4,9.82,12.83,0.4
discharged,Naive Persistence,8.0,8.0,200.0,2.29,3.45,42.04,2.0,3.01,28.0,2.0,3.01,28.0
discharged,Moving Average (7d),6.57,6.57,164.29,2.43,3.03,41.0,2.89,3.39,34.18,2.89,3.39,34.18
discharged,SARIMA,9.64,9.64,241.05,3.57,4.54,59.12,3.77,4.45,46.16,3.77,4.45,46.16
discharged,Exp. Smoothing,10.44,10.44,261.07,5.56,6.19,82.69,4.68,5.32,59.87,4.68,5.32,59.87
discharged,Random Forest,5.72,5.72,142.95,2.96,3.42,45.33,2.09,2.6,28.2,2.09,2.6,28.2
discharged,Gradient Boosting,4.84,4.84,120.92,2.65,3.04,40.18,1.88,2.31,24.93,1.88,2.31,24.93
